	Spiperone
TIMM9	0.572749
AKAP8L	-0.610358
ATP2C1	1.5338
TRAPPC3	1.44306
ATP5S	0.484221
TNFRSF21	0.337717
SESN1	0.135322
HTATSF1	1.0381
TMEM97	1.48864
BZW2	0.93851
CHMP4A	0.138393
GTPBP8	0.702361
DNAJC15	0.600209
PACSIN3	-0.0836058
RBM15B	1.20799
HOOK2	-0.728103
SNX11	0.663479
TIMM22	-1.91712
NENF	-0.653945
UBQLN2	1.27936
ERO1A	-0.0754843
DNTTIP2	-0.588425
PIK3R4	-0.876368
HDGFRP3	-0.91693
COPS7A	-0.585289
NSDHL	-1.10064
HEBP1	0.0749592
MTERF3	-0.332588
AMDHD2	0.811976
ISOC1	-0.478609
MRPS16	-1.05998
FIS1	0.101706
GOLT1B	-0.725967
GLOD4	-0.24764
GMNN	-0.288183
LAP3	0.529155
NOSIP	0.222979
DERA	0.901569
SCCPDH	-0.796347
MRPS2	-0.612422
VPS28	-0.206612
HSD17B11	0.121852
NUSAP1	-0.368216
SCAND1	2.73748
CD320	-0.980149
NGRN	-1.3106
SNX7	0.68904
ATP6V1D	1.1708
ZNF589	-1.15362
PRKAG2	-0.10862
UBE2J1	-1.30746
EVL	0.105729
HACD3	0.119805
UFM1	1.61355
LSR	0.357198
DHRS7	1.52886
CAB39	-0.39797
ARID4B	0.396579
NUDT9	0.920271
CYCS	-0.110568
TERF2IP	0.996779
GFOD1	0.723288
KCTD5	1.48066
TMCO1	-0.346953
DHX29	-0.0707417
EXOSC4	0.862382
DDIT4	-0.570215
PAF1	1.4181
P4HTM	0.162814
SLC35F2	-0.888808
ZNF586	0.53839
FBXL12	-0.0465675
TEX10	-0.537622
YTHDF1	1.47604
TXNL4B	0.47888
HERC6	0.197129
PIH1D1	-0.0297419
PPP2R3C	1.17531
FKBP14	1.09984
CDCA4	0.695312
PLEKHJ1	-0.0846552
HEATR1	-0.33798
ANO10	0.826814
UBR7	-1.4404
FAIM	-1.19528
ADI1	-0.677272
ABCF3	1.25372
ENOSF1	0.517323
LRRC16A	0.147814
ANKRD10	0.137916
STAP2	-0.849081
IARS2	0.462818
NUP133	0.784416
CNDP2	-0.235879
FAM63A	-0.404399
KDM3A	0.356839
PECR	-0.957395
EAPP	0.0102725
CISD1	0.4748
ZNF395	0.941973
KLHL9	0.864283
NPDC1	-1.00461
TM9SF3	0.0951237
PAK6	0.262974
DUSP22	-0.351218
ADCK3	0.546384
CIAPIN1	-0.526285
PLSCR3	1.66746
SCYL3	1.39761
LYRM1	0.417364
ZMIZ1	-0.713341
MCOLN1	0.361006
THAP11	1.43737
ABHD6	-1.68486
TRIB3	1.23133
POLD4	-0.136829
SQRDL	0.04125
ENOPH1	1.18615
PRUNE	1.24256
SNX6	-0.318265
FASTKD5	0.149392
ELAC2	-0.336703
ABHD4	0.33812
MCUR1	-1.22117
RBKS	0.75132
ATG3	-1.50153
NARFL	-0.816763
ZDHHC6	0.221923
ACBD3	-0.320254
CERK	-0.351898
NT5DC2	2.15565
ACD	0.0936286
INTS3	-0.0157222
TRAK2	-0.279415
METRN	0.0402374
ELOVL6	-1.13653
TMEM109	-1.08783
CCDC86	-0.1727
TRAPPC6A	-0.417535
CHAC1	0.309985
MBOAT7	0.0675132
PRR15L	-0.149568
CRELD2	-1.28811
FSD1	1.09627
TCTN1	0.0401713
CHMP6	0.843132
NPEPL1	2.37318
FAM57A	0.191812
NUP85	-0.0308533
TCEAL4	0.243663
DHDDS	4.56538
DENND2D	0.548037
FBXO11	0.514166
CCDC92	-0.108738
COASY	1.10681
WDR61	0.761861
TSEN2	1.39037
PRR7	-0.0735629
ITFG1	0.194581
GDPD5	-0.524668
GRWD1	0.658791
ARID5B	-0.548701
TUBB6	-0.63632
PSRC1	-0.646071
ADO	0.599173
HIST1H2BK	-0.00514374
MICALL1	1.21998
UBE3B	0.491948
HN1L	-0.810783
SLC25A46	1.23463
COG7	0.511515
MAPK1IP1L	-2.13235
TBC1D31	-1.25717
H2AFV	-1.13074
RPL39L	0.00624055
CANT1	0.296055
WIPF2	0.0188869
TICAM1	0.188246
TXLNA	-0.263175
SPRED2	0.0198046
EML3	-0.352025
TMEM110	-0.451846
FAM69A	0.1838
