Uniprot	Pref_Name	Gene ID	Target_Class	Organism	Near_Neighbor_ChEMBLID	Near_Neighbor_Smiles	Near_Neighbor_Bioactive_organism	Near_Neighbor_conf_score	NN_activity	NN_Units	Input_Compound	Similarity
P06213	Insulin receptor	3643	Kinase	Homo sapiens	CHEMBL1822519	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1	Homo sapiens	8	6.41	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.493827160494
P08069	Insulin-like growth factor I receptor	3480	Kinase	Homo sapiens	CHEMBL3656549	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1OC)CC2	Homo sapiens	9	7.68	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.48275862069
P00533	Epidermal growth factor receptor erbB1	1956	Kinase	Homo sapiens	CHEMBL4216784	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2N)n1	Homo sapiens	9	5.94	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.481927710843
P53350	Serine/threonine-protein kinase PLK1	5347	Kinase	Homo sapiens	CHEMBL3929934	COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CCC(=O)N2C	Homo sapiens	8	8.1	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.472527472527
P33981	Dual specificity protein kinase TTK	7272	Kinase	Homo sapiens	CHEMBL3934920	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2ccnc(NCC(C)(C)C)c2n1	Homo sapiens	8	8.4	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.470588235294
Q15303	Receptor protein-tyrosine kinase erbB-4	2066	Kinase	Homo sapiens	CHEMBL3219132	C=CC(=O)Nc1cccc(N2C(=O)CN(c3ccccc3)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1	Homo sapiens	5	8.16	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.469387755102
P21860	Receptor tyrosine-protein kinase erbB-3	2065	Kinase	Homo sapiens	CHEMBL3219132	C=CC(=O)Nc1cccc(N2C(=O)CN(c3ccccc3)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1	Homo sapiens	5	8.16	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.469387755102
P04626	Receptor protein-tyrosine kinase erbB-2	2064	Kinase	Homo sapiens	CHEMBL3219132	C=CC(=O)Nc1cccc(N2C(=O)CN(c3ccccc3)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1	Homo sapiens	5	8.16	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.469387755102
O43318	Mitogen-activated protein kinase kinase kinase 7	6885	Kinase	Homo sapiens	CHEMBL3885007	C=CC(=O)Oc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl	Homo sapiens	9	6.47	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.465909090909
Q9NYY3	Serine/threonine-protein kinase PLK2	10769	Kinase	Homo sapiens	CHEMBL3660143	CC[C@@H]1C(=O)N(C)c2cnc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)nc2N1C1CCCC1	Homo sapiens	9	5.95	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.462365591398
Q9H4B4	Serine/threonine-protein kinase PLK3	1263	Kinase	Homo sapiens	CHEMBL3660143	CC[C@@H]1C(=O)N(C)c2cnc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)nc2N1C1CCCC1	Homo sapiens	9	5.89	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.462365591398
P52333	Tyrosine-protein kinase JAK3	3718	Kinase	Homo sapiens	CHEMBL3601716	C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2C(F)(F)F)c1	Homo sapiens	9	7.75	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.453608247423
P78396	Cyclin-dependent kinase 2/cyclin A	8900	Other	Homo sapiens	CHEMBL1095717	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2	Homo sapiens	6	7.09	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.433333333333
P24941	Cyclin-dependent kinase 2	1017	Kinase	Homo sapiens	CHEMBL1095717	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2	Homo sapiens	6	7.09	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.433333333333
P20248	Cyclin A2	890	Other	Homo sapiens	CHEMBL1095717	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2	Homo sapiens	6	7.09	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.433333333333
P07333	Macrophage colony stimulating factor  receptor	1436	Kinase	Homo sapiens	CHEMBL4087383	CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)C1	Homo sapiens	9	7.52	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.432692307692
Q9Y463	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	9149	Kinase	Homo sapiens	CHEMBL3421968	COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1	Homo sapiens	9	8.52	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.431818181818
P36888	Tyrosine-protein kinase receptor FLT3	2322	Kinase	Homo sapiens	CHEMBL3545311	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1	Homo sapiens	9	8.68	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.430107526882
P08922	Proto-oncogene tyrosine-protein kinase ROS	6098	Kinase	Homo sapiens	CHEMBL3545311	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1	Homo sapiens	9	8.72	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.430107526882
Q96GD4	Serine/threonine-protein kinase Aurora-B	9212	Kinase	Homo sapiens	CHEMBL3932938	Cc1cc(S(N)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	9	5.03	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.428571428571
P48736	PI3-kinase p110-gamma subunit	5294	Kinase	Homo sapiens	CHEMBL3932938	Cc1cc(S(N)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	9	5.62	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.428571428571
O14965	Serine/threonine-protein kinase Aurora-A	6790	Kinase	Homo sapiens	CHEMBL3932938	Cc1cc(S(N)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	9	5.31	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.428571428571
O00329	PI3-kinase p110-delta subunit	5293	Kinase	Homo sapiens	CHEMBL3932938	Cc1cc(S(N)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	9	6.09	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.428571428571
Q08881	Tyrosine-protein kinase ITK/TSK	3702	Kinase	Homo sapiens	CHEMBL3601223	C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	Homo sapiens	9	5.97	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.427083333333
Q06187	Tyrosine-protein kinase BTK	695	Kinase	Homo sapiens	CHEMBL3601223	C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	Homo sapiens	9	6.1	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.427083333333
P51451	Tyrosine-protein kinase BLK	640	Kinase	Homo sapiens	CHEMBL3601223	C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	Homo sapiens	9	6.8	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.427083333333
P42681	Tyrosine-protein kinase TXK	7294	Kinase	Homo sapiens	CHEMBL3601223	C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	Homo sapiens	9	7.44	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.427083333333
P23458	Tyrosine-protein kinase JAK1	3716	Kinase	Homo sapiens	CHEMBL3601223	C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	Homo sapiens	9	6.05	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.427083333333
O60674	Tyrosine-protein kinase JAK2	3717	Kinase	Homo sapiens	CHEMBL3601223	C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	Homo sapiens	9	5.98	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.427083333333
Q9P1W9	Serine/threonine-protein kinase PIM2	11040	Kinase	Homo sapiens	CHEMBL3666767	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CCC2	Homo sapiens	9	5.23	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.423913043478
P11309	Serine/threonine-protein kinase PIM1	5292	Kinase	Homo sapiens	CHEMBL3703177	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)c(C)n1C)CC2	Homo sapiens	8	6.13	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.423913043478
P35916	Vascular endothelial growth factor receptor 3	2324	Kinase	Homo sapiens	CHEMBL3689069	COc1cc(N2CCNCC2)ccc1Nc1ncc(C(F)(F)F)c(CCc2ccccc2CC(N)=O)n1	Homo sapiens	8	6.56	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.421052631579
Q9Y6R4	Mitogen-activated protein kinase kinase kinase 4	4216	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.7	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y6E0	Serine/threonine-protein kinase 24	8428	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.54	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y616	Interleukin-1 receptor-associated kinase 3	11213	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.8	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y5S2	Serine/threonine-protein kinase MRCK beta	9578	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.32	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y4K4	Mitogen-activated protein kinase kinase kinase kinase 5	11183	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	7.1	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y2U5	Mitogen-activated protein kinase kinase kinase 2	10746	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.96	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y2K2	Serine/threonine-protein kinase SIK3	23387	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.89	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y2H9	Microtubule-associated serine/threonine-protein kinase 1	22983	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.48	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9Y2H1	Serine/threonine-protein kinase 38-like	23012	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.24	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UQM7	CaM kinase II alpha	815	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.2	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UQB9	Serine/threonine-protein kinase Aurora-C	6795	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	7.48	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UPZ9	Serine/threonine-protein kinase ICK	22858	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.4	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UPE1	Serine/threonine-protein kinase SRPK3	26576	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.54	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UL54	Serine/threonine-protein kinase TAO2	9344	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.13	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UKE5	TRAF2- and NCK-interacting kinase	23043	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.92	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UK32	Ribosomal protein S6 kinase alpha 6	27330	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	7.57	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UIK4	Death-associated protein kinase 2	23604	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.06	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UHD2	Serine/threonine-protein kinase TBK1	29110	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.33	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UF33	Ephrin type-A receptor 6	285220	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.92	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UEW8	STE20/SPS1-related proline-alanine-rich protein kinase	27347	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.82	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UEE5	Serine/threonine-protein kinase 17A	9263	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.54	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9UBF8	PI4-kinase beta subunit	5298	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	6.11	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
Q9P2K8	Eukaryotic translation initiation factor 2-alpha kinase 4	440275	Kinase	Homo sapiens	CHEMBL509032	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	Homo sapiens	8	5.96	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.416666666667
