Gene	DCLK1IN1
ATR	0.478914909
RIPPLY2	-1.216265328
ETAA1	0.670165643
LYPD6	0.323404992
GPAM	0.613845947
PIK3C2A	0.573276623
STX17	0.416929458
CREB1	0.433939973
APPBP2	0.498025524
ATXN3	0.36782018
FAM13B	0.426402758
PNPLA8	0.784883082
MOSPD1	0.791473433
EPHA10	-0.448782715
LOC284023	-0.619058213
SPOPL	0.338395167
KIAA1731	0.649089039
BAI2	-0.566306478
EP300-AS1	-0.55825176
CCDC152	-0.639248958
ZNF140	0.371295557
SETD1B	-0.440022219
EMX1	-0.417384448
SESTD1	0.392716545
MKLN1	0.440457737
NEDD1	0.60726364
CLUHP3	-0.530833976
NMNAT3	-0.762230258
ZNF37A	0.350612647
NICN1	-0.337402149
ZNF300	0.673528918
GDF11	-0.427478043
TMEM161B	0.427537743
SMARCAD1	0.660562551
EFNA2	-0.483937609
CENPC	0.580535601
DLG4	-0.61135113
COL27A1	-0.375807299
ACAP2	0.374007537
TRAPPC6B	0.483128565
SH3BGR	-0.982646058
ZNF35	0.460542059
DYNLT3	0.540067849
RSC1A1	0.680617042
TSSK3	-0.54631181
LBX2	-0.46297607
SGOL2	0.797315975
RIF1	0.455002473
MALT1	0.446422483
SMAD2	0.517152023
RTN4IP1	0.618315375
DCLRE1A	0.542106601
TFPI	0.573347132
EPC2	0.45001125
RAB3IP	0.356344715
AMMECR1	0.428386247
SLC44A1	0.450069499
MPZL3	0.47436058
TOPORS	0.486479243
GMFB	0.326150232
TSPAN33	-0.394841471
RPAP2	0.422098083
ZNF721	0.38106501
XRCC2	0.472352338
NKD1	-0.328934298
ARHGAP5	0.364536904
MAP7D3	0.339857586
ZCCHC10	0.553730357
VPS54	0.530222352
TMEM39A	0.754030032
OSGIN2	0.413919627
C9orf9	-0.584029979
MAP9	0.431962975
CYB5RL	-0.414546136
ZNF514	0.424675234
SLC35B3	0.539650956
LOC101928794	0.648894949
UCP2	-0.549671553
GOLGA8B	0.497015742
SC5D	0.399961993
CUL2	0.644422038
FAM222A	-0.980487129
ZNF189	0.873228252
TSPAN5	0.370441557
SLC25A46	0.641575012
CEP70	0.329583728
SKIL	0.37159034
PGAM2	-1.024798966
LTBP4	-0.527423548
LRRC49	0.41996305
COL4A3BP	0.476747322
XRCC4	0.46977344
GPATCH11	0.326862216
SERPINB8	0.527016274
GSAP	0.548588121
DIS3	0.618838974
PIBF1	0.68872394
LAMTOR3	0.55907228
MIPEPP3	-0.374694049
ZCCHC6	0.329249522
TTK	0.807315607
SNX4	0.555598424
USP12	0.562043552
CORO1A	-0.880601796
PIGK	0.477926586
HLTF	0.612662301
SPDEF	-0.386618003
ASPM	0.721644182
TMEM260	0.353113787
KRIT1	0.402197084
ZNF644	0.451608023
MTERF	0.874161892
NFYB	0.472374126
SLC16A13	-0.532351262
USP9X	0.330023073
TAPBPL	-0.370978772
MAP4K5	0.348010327
RPAP3	0.422040491
CHD1	0.553677331
PLK4	0.604634386
FBXO45	0.376094612
UBXN2B	0.37291144
ATP6V1C1	0.535548171
RIOK2	0.533798745
ARFGEF1	0.335760021
MTF2	0.387848799
MBOAT2	0.363023079
SPAG8	-0.519360014
SMC6	0.578882144
INPP5A	-0.405890516
AGER	-0.453962032
LINC01245	-1.330091077
CENPE	0.418946807
VEZT	0.546082693
NUDCD1	0.455621387
ROR2	-0.35251383
IFT74	0.563077899
SETD9	0.384128787
PRIM1	0.819022325
IDE	0.493499097
WDHD1	0.649966389
LOC100630923	-0.940211393
ZNF775	-0.643712113
ZNF639	0.450863704
SCGB1B2P	-0.968236957
SGOL1	0.628503803
MIS12	0.504177459
AP3M1	0.345002405
METAP1D	-0.385489923
NDUFA5	0.346702675
C1orf27	0.42555666
PRRT3-AS1	-0.721182295
HDAC11	-0.400686079
USP47	0.462273584
MLXIPL	-0.515445299
ZNF143	0.335605381
CROCC	-0.336558478
STAG3L2	-0.391507291
RAP1A	0.487134373
C2orf15	0.534131754
TRIM37	0.452322983
ZBED6CL	-0.390324261
TRIM15	-0.360008333
C7orf25	0.530876371
TTC13	0.403802927
BBIP1	0.618055689
SDSL	-0.574111467
RABL2A	-0.530570482
GOLGA4	0.401010772
CCDC6	0.403725716
NPHP4	-0.41448697
SNX2	0.639848272
PRKRIR	0.501756538
CDC7	0.414704841
FASTKD1	0.61145149
DNM1L	0.35026188
SUV420H1	0.417173792
FGGY	-0.481806158
ANAPC4	0.332454218
NECAP1	0.39142788
PPM1F	-0.473983651
IL15RA	-0.397991734
MST4	0.407152969
NAMPT	0.52503798
SMEK2	0.325792286
PIGP	0.936692831
TXNDC9	0.640582673
SFTA2	-0.793978197
HSF4	-0.655298474
AKNA	-0.479330701
MAP3K14	-0.490371309
ZFP41	-0.408212509
AK3	0.329626521
PPIL4	0.437593174
ZNF653	-0.542696899
ORAI2	-0.331727894
LOC101927934	-0.37082607
BORA	0.692936099
TTC14	0.543587802
GPRIN1	-0.379202683
FANCE	-0.342737358
RWDD3	-0.449064845
BANP	-0.495793881
ABHD16B	-0.338351896
BIRC2	0.537737419
CHORDC1	0.403834458
YIPF6	0.323477484
LARP1B	0.480921782
C1orf112	0.403912565
SPDL1	0.378688646
ERMARD	0.424413853
MFSD2A	-0.416011825
C1QTNF1	-0.324794833
TYW3	0.508012418
RASAL1	-0.454751008
C16orf93	-0.666551133
BBS5	-0.340598121
GALNT5	0.531742387
MEMO1	0.479774241
NT5E	0.374856023
LGALS8	0.358113683
TMEM5	0.376102091
WDR41	0.412958178
CENPK	0.473264718
KIAA1279	0.399265321
PEX11G	-0.472548773
WDYHV1	0.358255326
CWC22	0.690199417
USP16	0.462244936
C4BPB	0.388051874
MOCS3	-0.341299358
LRRC61	-0.35806534
TIGD5	-0.339084823
WASH1	-0.445239983
COPS2	0.664664993
YTHDF3-AS1	-0.700874431
CCNC	0.619354399
SLC7A11	0.359812444
CDK20	-0.40720112
LLGL1	-0.350271062
RAB29	0.422958255
PUM2	0.508393172
DHX29	0.423397974
ARL1	0.596252172
TUSC1	-0.451886016
DGKQ	-0.327910484
NEIL1	-0.608821669
GLIS2	-0.336789548
KIAA0556	-0.376739275
SLC38A2	0.487653078
IRF1	-0.333323421
FAM111B	0.606235989
DGKD	-0.449679325
ESPL1	-0.390684375
ABCE1	0.444118157
ZW10	0.358531078
RARS2	0.483847874
MALL	-0.524097222
C1orf233	-0.644248335
PRPF40A	0.448473765
SCN1B	-0.447737743
FCHSD1	-0.353287778
FAM65A	-0.365244706
MAU2	-0.399944149
C11orf57	0.328616939
ORC2	0.412597967
NAGPA	-0.49005392
CKAP2	0.45701642
CDC23	0.382383475
PSKH1	-0.338140449
C6orf203	0.594544177
SETD1A	-0.352753769
PCBD2	-0.368235274
RPPH1	-0.788971836
C15orf61	-0.609834622
PRR24	-0.582304409
ABHD14A	-0.560343634
TBL3	-0.513021244
DMPK	-0.511969489
EIF4A2	0.435196073
CCDC130	-0.510412368
PARP10	-0.326638613
TMED1	-0.484938181
SYT8	-0.462178393
SIPA1	-0.460042852
GYLTL1B	-0.455649487
CAPN15	-0.453920136
FAM207A	-0.453874821
RPTOR	-0.369950834
ENDOG	-0.449720667
PARD6A	-0.449357022
SLC12A4	-0.323493648
PP7080	-0.44484914
MGST1	0.407498758
YWHAZ	0.402253905
GDI2	0.401392067
PPP1R16A	-0.432837022
CXXC1	-0.432299348
GRAMD1A	-0.430917232
ANXA3	0.399099757
ZNF598	-0.42613277
AOC1	-0.418096799
PSMA1	0.381776032
P4HTM	-0.41174825
POLR2K	0.3801147
TONSL	-0.406538032
MVB12A	-0.402516193
TREX1	-0.402015578
B3GAT3	-0.396654071
RPUSD3	-0.393824523
NME3	-0.390959991
MAPK15	-0.390468266
UCKL1	-0.390349592
C9orf89	-0.389827865
SPPL2B	-0.387975106
MAL2	0.376695917
ANXA10	0.370307446
CEBPD	-0.386396522
LPAR2	-0.385859414
RGS14	-0.385405238
GIGYF1	-0.383067879
EPHB3	-0.454312158
C19orf68	-0.532509243
ARL6IP1	0.367447898
XRCC3	-0.380225315
MAPK8IP3	-0.401605843
GGA3	-0.378540695
CDT1	-0.377453238
TMEM86B	-0.577936883
MRPL2	-0.37560435
KIAA0195	-0.374715952
PIDD1	-0.374226824
ARFRP1	-0.370088102
SLC35C2	-0.369371648
HSP90AA1	0.346703795
MAPK12	-0.36899714
VARS	-0.368753183
NUBP2	-0.368104938
LOC101927746	-0.367950132
SLC25A10	-0.367370213
CAD	-0.366011065
RHPN1	-0.365262902
TFAP4	-0.365240012
PICK1	-0.364284591
ECM1	-0.340729807
UGT1A6	0.327505
TMEM8A	-0.361166
TCIRG1	-0.359264249
PCIF1	-0.359226269
CARM1	-0.359210908
WDR13	-0.358878825
MICALL2	-0.358348262
CKMT1A	-0.358198574
PITX1	-0.41626654
DHRS11	-0.354926045
POLRMT	-0.354873531
PKDCC	-0.353984867
ASPHD1	-0.352793309
CLUH	-0.351822364
CHID1	-0.35177643
TSEN54	-0.351770337
TRMT61A	-0.34971696
CHMP6	-0.347951525
C16orf59	-0.347530308
ERN2	-0.346629449
MAP1S	-0.345201394
CLCN2	-0.3921677
WTIP	-0.34428633
CIC	-0.343192994
BCKDHA	-0.342234969
GPR108	-0.341623012
ANAPC2	-0.340519943
LIMK1	-0.340231339
CISD3	-0.340151552
DUS3L	-0.346862925
FANCA	-0.336419316
NSMF	-0.335202561
ALDH16A1	-0.334248905
CPSF1	-0.333123413
PTDSS2	-0.332301922
RAI1	-0.332176474
NBEAL2	-0.330897621
ZNF581	-0.329726513
PTPN6	-0.328063263
WBSCR27	-0.32798949
ZMYND10	-0.327476083
HS3ST1	-0.327323846
GATA3	-0.365464986
IPO4	-0.326755146
ZNF672	-0.324946925
AMPD2	-0.324590492
QTRT1	-0.323732815
PSMB10	-0.323637952
CSNK1G2	-0.323504429
FBXO44	-0.323351625
ALKBH4	-0.323259171
FOXC2	-0.617180074
ACAD9	-0.321886939
DCAKD	-0.347688991
HES6	-0.321465202
BCKDK	-0.320933374
UCK1	-0.320330931
DHPS	-0.320254437
CMTM8	-0.388590877
GSC	-0.55584218
HES1	-0.320404325
PLK1	-0.32045364
TRAPPC5	-0.3266468
MZT2A	-0.326869407
CXCL16	-0.327252225
CUEDC1	-0.327743783
HNRNPUL2-BSCL2	-0.327805053
PAK4	-0.331374702
EMC9	-0.334517924
ZNF787	-0.334901497
TNS4	-0.334992177
GPC1	-0.33567978
PLXNB2	-0.337584572
SYNGR2	-0.34037698
LGALS4	-0.341788639
ZNHIT1	-0.342164141
AQP5	-0.345131168
GRWD1	-0.345881432
TRABD	-0.34883899
MIF	-0.349566822
LAMA5	-0.349907104
COMT	-0.356329752
SLC52A2	-0.35702048
IL13RA1	0.320938712
TOP2B	0.322603729
CLASRP	-0.359559457
IDI1	0.326652379
DCTN6	0.327350148
NTAN1	0.327530362
RPL41	-0.365673316
EED	0.329522796
MATR3	0.329635965
TTYH3	-0.365711454
MRPL3	0.333917589
APRT	-0.366412044
RAD50	0.33677472
AKR1C1	0.337754075
NUP107	0.340441059
COQ5	0.34085303
RALA	0.341803005
FXR1	0.342581297
MRPS10	0.345329292
SNRNP25	-0.369311406
ATL2	0.347261834
ZYX	-0.369435595
RNF145	0.350916859
GPR110	0.357345646
PHPT1	-0.374598
DHRS7	0.362684197
ACTR3	0.36591988
NME4	-0.379724822
COMMD4	-0.380919671
RCN2	0.369211531
MCFD2	0.36925001
RNF126	-0.386347803
IQCG	0.370215769
GTF2E2	0.371619856
VMP1	0.372890824
LTBR	-0.402662677
ACTN1	-0.403978805
SLU7	0.37888875
WDR12	0.379827008
TMEM160	-0.410880362
NDC1	0.380358587
MRPL48	0.381191423
ISOC2	-0.415971341
GNAI3	0.384577704
CACYBP	0.390985664
ACSL3	0.391231941
FAM111A	0.393713683
SCP2	0.39460059
SERPINB5	0.396574893
ZNF703	-0.426380356
MGEA5	0.400862156
HNMT	0.402498997
EIF2A	0.403740614
CD55	0.404424869
ZNF410	0.405033404
ELOVL6	0.409416335
DNAJC10	0.409570136
EXOSC5	-0.44531251
KTN1	0.415616806
FGF19	-0.45005502
GTF2B	0.426464219
ZNF146	0.427894033
SSSCA1	-0.500867552
ZBTB8OS	0.434572421
MNAT1	0.437874586
NFE2L3	0.438317098
SMC4	0.438816609
EXOSC4	-0.519280953
HSPH1	0.444528374
RWDD2B	0.445312695
SNX7	0.447872586
PNRC2	0.453374426
DNAJC15	0.458663596
PPIL1	0.464007776
RABGGTB	0.468798241
COPS4	0.469181903
KRR1	0.479326243
CLPX	0.480077184
OSBPL9	0.480919049
SMARCA5	0.491670952
DCAF13	0.50560183
CXCL8	0.513445237
ALG8	0.520986158
INSIG1	0.529937403
MND1	0.548955137
ST20	0.567741976
ESD	0.584275748
ZNF638	0.586782335
SNORA48	-1.057859955
UGP2	0.612517824
CLK1	0.652447718
RARS	0.653370359
PDCD10	0.65847029
PSMC6	0.664965993
EMC2	0.673112917
LINC00998	0.678937429
